ID,URL,new_filename,new_filelocation
47,https://www.memphis.edu/english/undergraduates/concentrations/lit.php                               ,47.txt,preprocessed/httpswwwmemphiseduenglishundergraduatesconcentrationslitphp.txt                       
48,https://www.memphis.edu/english/undergraduates/concentrations/prwr.php                              ,48.txt,preprocessed/httpswwwmemphiseduenglishundergraduatesconcentrationsprwrphp.txt                      
49,https://www.memphis.edu/history/undergraduate/index.php                                             ,49.txt,preprocessed/httpswwwmemphiseduhistoryundergraduateindexphp.txt                                    
50,https://www.memphis.edu/intl/curriculum/index.php                                                   ,50.txt,preprocessed/httpswwwmemphiseduintlcurriculumindexphp.txt                                          
51,https://www.memphis.edu/anthropology/undergraduate/index.php                                        ,51.txt,preprocessed/httpswwwmemphiseduanthropologyundergraduateindexphp.txt                               
52,https://www.memphis.edu/cjustice/programs/undergraduate.php                                         ,52.txt,preprocessed/httpswwwmemphiseducjusticeprogramsundergraduatephp.txt                                
53,https://www.memphis.edu/psychology/undergraduate/index.php                                          ,53.txt,preprocessed/httpswwwmemphisedupsychologyundergraduateindexphp.txt                                 
54,https://www.memphis.edu/socialwork/undergraduate/index.php                                          ,54.txt,preprocessed/httpswwwmemphisedusocialworkundergraduateindexphp.txt                                 
55,https://www.memphis.edu/physics/undergraduate/index.php                                             ,55.txt,preprocessed/httpswwwmemphiseduphysicsundergraduateindexphp.txt                                    
56,https://www.memphis.edu/biology/undergraduate/index.php                                             ,56.txt,preprocessed/httpswwwmemphisedubiologyundergraduateindexphp.txt                                    
57,https://www.memphis.edu/chem/programs/bs-chem.php                                                   ,57.txt,preprocessed/httpswwwmemphiseduchemprogramsbschemphp.txt                                           
58,https://www.memphis.edu/chem/programs/bs-biochem.php                                                ,58.txt,preprocessed/httpswwwmemphiseduchemprogramsbsbiochemphp.txt                                        
59,https://www.memphis.edu/earthsciences/programs/undergraduate/undergraduate-courses.php              ,59.txt,preprocessed/httpswwwmemphiseduearthsciencesprogramsundergraduateundergraduatecoursesphp.txt       
60,https://www.memphis.edu/cs/programs/index.php                                                       ,60.txt,preprocessed/httpswwwmemphiseducsprogramsindexphp.txt                                              
61,https://www.memphis.edu/cs/programs/bs_conc_cyber_security.php                                      ,61.txt,preprocessed/httpswwwmemphiseducsprogramsbsconccybersecurityphp.txt                                
62,https://www.memphis.edu/msci/research/stat.php                                                      ,62.txt,preprocessed/httpswwwmemphisedumsciresearchstatphp.txt                                             
63,https://www.memphis.edu/english/graduate/mfa/creative_writing.php                                   ,63.txt,preprocessed/httpswwwmemphiseduenglishgraduatemfacreativewritingphp.txt                            
64,https://www.memphis.edu/polisci/graduate/index.php                                                  ,64.txt,preprocessed/httpswwwmemphisedupoliscigraduateindexphp.txt                                         
65,https://www.memphis.edu/sociology/graduate/index.php                                                ,65.txt,preprocessed/httpswwwmemphisedusociologygraduateindexphp.txt                                       
66,https://www.memphis.edu/padm/mpa/index.php                                                          ,66.txt,preprocessed/httpswwwmemphisedupadmmpaindexphp.txt                                                 
67,https://www.memphis.edu/english/graduate/index.php                                                  ,67.txt,preprocessed/httpswwwmemphiseduenglishgraduateindexphp.txt                                         
68,https://www.memphis.edu/english/graduate/ma/esl.php                                                 ,68.txt,preprocessed/httpswwwmemphiseduenglishgraduatemaeslphp.txt                                         
69,https://www.memphis.edu/philosophy/graduate/phd-course-requirements.php                             ,69.txt,preprocessed/httpswwwmemphiseduphilosophygraduatephdcourserequirementsphp.txt                      
70,https://www.memphis.edu/philosophy/graduate/master.php                                              ,70.txt,preprocessed/httpswwwmemphiseduphilosophygraduatemasterphp.txt                                     
71,https://www.memphis.edu/anthropology/graduate/index.php                                             ,71.txt,preprocessed/httpswwwmemphiseduanthropologygraduateindexphp.txt                                    
72,https://www.memphis.edu/cjustice/programs/graduate.php                                              ,72.txt,preprocessed/httpswwwmemphiseducjusticeprogramsgraduatephp.txt                                     
73,https://www.memphis.edu/psychology/graduate/schabout.php                                            ,73.txt,preprocessed/httpswwwmemphisedupsychologygraduateschaboutphp.txt                                   
74,https://www.memphis.edu/planning/programs/index.php                                                 ,74.txt,preprocessed/httpswwwmemphiseduplanningprogramsindexphp.txt                                        
75,https://www.memphis.edu/psychology/graduate/clinabout.php                                           ,75.txt,preprocessed/httpswwwmemphisedupsychologygraduateclinaboutphp.txt                                  
76,https://www.memphis.edu/psychology/graduate/msgpabout.php                                           ,76.txt,preprocessed/httpswwwmemphisedupsychologygraduatemsgpaboutphp.txt                                  
77,https://www.memphis.edu/socialwork/graduate/licensure-program-requirements.php                      ,77.txt,preprocessed/httpswwwmemphisedusocialworkgraduatelicensureprogramrequirementsphp.txt               
78,https://www.memphis.edu/earthsciences/programs/index.php                                            ,78.txt,preprocessed/httpswwwmemphiseduearthsciencesprogramsindexphp.txt                                   
79,https://www.memphis.edu/bioinformatics/index.php                                                    ,79.txt,preprocessed/httpswwwmemphisedubioinformaticsindexphp.txt                                          
80,https://www.memphis.edu/chem/programs/phd.php                                                       ,80.txt,preprocessed/httpswwwmemphiseduchemprogramsphdphp.txt                                              
81,https://www.memphis.edu/chem/programs/masters.php                                                   ,81.txt,preprocessed/httpswwwmemphiseduchemprogramsmastersphp.txt                                          
82,https://www.memphis.edu/physics/graduate/index.php                                                  ,82.txt,preprocessed/httpswwwmemphiseduphysicsgraduateindexphp.txt                                         
83,https://www.memphis.edu/cs/programs/phd_computer_science.php                                        ,83.txt,preprocessed/httpswwwmemphiseducsprogramsphdcomputersciencephp.txt                                 
84,https://www.memphis.edu/cs/programs/ms_computer_science.php                                         ,84.txt,preprocessed/httpswwwmemphiseducsprogramsmscomputersciencephp.txt                                  
85,https://www.memphis.edu/msci/grad/phdmath.php                                                       ,85.txt,preprocessed/httpswwwmemphisedumscigradphdmathphp.txt                                              
86,https://www.memphis.edu/msci/grad/msprogram.php                                                     ,86.txt,preprocessed/httpswwwmemphisedumscigradmsprogramphp.txt                                            
87,https://www.memphis.edu/art/programs/bfa_arted.php                                                  ,87.txt,preprocessed/httpswwwmemphiseduartprogramsbfaartedphp.txt                                          
88,https://www.memphis.edu/art/programs/bfa_graphicdesign.php                                          ,88.txt,preprocessed/httpswwwmemphiseduartprogramsbfagraphicdesignphp.txt                                  
89,https://www.memphis.edu/art/programs/bfa_photography.php                                            ,89.txt,preprocessed/httpswwwmemphiseduartprogramsbfaphotographyphp.txt                                    
90,https://www.memphis.edu/art/programs/bfa_studioarts.php                                             ,90.txt,preprocessed/httpswwwmemphiseduartprogramsbfastudioartsphp.txt                                     
91,https://www.memphis.edu/art/programs/bfa_arthistory.php                                             ,91.txt,preprocessed/httpswwwmemphiseduartprogramsbfaarthistoryphp.txt                                     
92,https://www.memphis.edu/architecture/programs/index.php                                             ,92.txt,preprocessed/httpswwwmemphiseduarchitectureprogramsindexphp.txt                                    
93,https://www.memphis.edu/jrsm/undergraduate_programs/pr.php                                          ,93.txt,preprocessed/httpswwwmemphisedujrsmundergraduateprogramsprphp.txt                                  
94,https://www.memphis.edu/jrsm/undergraduate_programs/news.php                                        ,94.txt,preprocessed/httpswwwmemphisedujrsmundergraduateprogramsnewsphp.txt                                
95,https://www.memphis.edu/jrsm/undergraduate_programs/creative.php                                    ,95.txt,preprocessed/httpswwwmemphisedujrsmundergraduateprogramscreativephp.txt                            
